x,y
6360.0,1.6370065550818264e+21
6600.0,904183.2132206882
6880.0,805530.4969230796
7200.0,696389.8179699425
7360.0,682800.7222467326
7400.0,657774.3827252039
7520.0,652244.0187190037
7760.0,601193.5813367842
7880.0,568304.9229172765
8080.0,548723.3079030481
8160.0,533352.2837871748
8280.0,524860.9493157538
8480.0,486837.4519853262
8640.0,479676.33771298476
8680.0,471921.2003577218
8800.0,469191.8107957666
8880.0,469024.2663215327
8960.0,455617.1599621473
9040.0,444685.6582812756
9120.0,432395.2352590422
9160.0,428835.88581036846
9280.0,424033.0543521694
9320.0,423454.5243227695
9360.0,419216.2344473615
9440.0,414438.2670770349
9560.0,407384.86615105055
9720.0,389845.9997846548
9760.0,389549.6648572843
9840.0,385317.23014286964
9880.0,383704.7587436046
9960.0,381849.3167764017
10040.0,380242.36000131106
10080.0,378461.1880385959
10120.0,378092.0475382264
10160.0,374297.5764554612
10200.0,371364.47202685714
10320.0,358498.03316126193
10360.0,357296.97052895423
10440.0,354747.667568428
10560.0,352211.18177378987
10600.0,350968.2966730352
10640.0,350353.24264116905
10680.0,348528.03376469546
10720.0,347378.8367525001
10760.0,344913.6925931114
10920.0,339919.5913223857
10960.0,333040.2455939609
11040.0,332880.4625615512
11080.0,331568.2110580634
11120.0,330118.78030070465
11160.0,329910.4671585038
11280.0,326701.9085257857
11360.0,322824.8239884741
11480.0,316803.6608746847
11560.0,316655.94335264916
11640.0,314385.72024226806
11680.0,314354.32465584646
11800.0,311216.523824188
11960.0,305366.6891239771
12040.0,304517.0278786638
12120.0,303618.9825566889
12240.0,301432.4586221076
12480.0,296222.80608579057
